name,facility_type,prefecture,city,address,postal_code,latitude,longitude,osm_type,osm_id,website
とうほう・みんなのスタジアム,競技場,福島県,,,,37.7232646,140.3613025,node,2602824257,
補助陸上競技場,陸上競技場・トラック,福島県,,,,37.7208037,140.3610636,node,2602825832,
開成山陸上競技場,陸上競技場・トラック,福島県,,,,37.398062,140.3612963,node,3105260658,
多目的運動広場,競技場,福島県,,,,37.7248006,140.3632065,way,105833007,
上荒川陸上競技場,陸上競技場・トラック,福島県,,,,37.032075,140.8975481,way,190594881,
多目的グラウンド,陸上競技場・トラック,福島県,,,,37.0189739,140.8642445,way,229418989,
小松原多目的運動場,陸上競技場・トラック,福島県,会津若松市,会津若松市 字舘ノ内 717,,37.4710021,139.8825972,way,231800592,
大川南四合緑地（水辺の楽校）多目的広場,陸上競技場・トラック,福島県,会津若松市,会津若松市,,37.4977104,139.8912551,way,231896857,
屋外訓練場,陸上競技場・トラック,福島県,,,,37.7108932,140.3717716,way,242507932,
スポーツイベント広場,陸上競技場・トラック,福島県,,,,37.7170894,140.3552209,way,243546118,
ミニ多目的広場,陸上競技場・トラック,福島県,,,,37.7184985,140.3565471,way,243546120,
陸上競技場・サッカー場,陸上競技場・トラック,福島県,,,,37.5635405,140.0822756,way,252836943,
町営 陸上競技場,陸上競技場・トラック,福島県,,,,37.2479661,140.3581565,way,276160768,
いわき市民運動競技場,陸上競技場・トラック,福島県,,,,36.9497194,140.8493891,way,426310911,
パドック,陸上競技場・トラック,福島県,,,,37.7650921,140.4799201,way,554109087,
バンケット,陸上競技場・トラック,福島県,,,,37.7645668,140.4826207,way,554109089,
雲雀ヶ原陸上競技場,陸上競技場・トラック,福島県,,,,37.6217458,140.9578515,way,829050510,
多目的競技場,陸上競技場・トラック,福島県,,,,37.1982957,139.7585276,relation,4071681,
信夫ケ丘競技場,陸上競技場・トラック,福島県,,,,37.7752417,140.4914506,relation,15447323,
陸上競技場,陸上競技場・トラック,茨城県,,,,36.3917927,140.5860185,node,822350230,
