name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
維新の里 萩城下町マラソン,山口県,,,,,wikipedia,Q11607113,維新の里 萩城下町マラソン,0
美し国三重市町対抗駅伝,三重県,,,,,wikipedia,Q11608708,美し国三重市町対抗駅伝,0
西日本地区高等専門学校駅伝競走大会,山口県,,,,,wikipedia,Q11628375,西日本地区高等専門学校駅伝競走大会,0
道の駅駅伝,,,,,,wikipedia,Q17212863,道の駅駅伝,0
選抜女子駅伝北九州大会,福岡県,,,,,wikipedia,Q11642553,選抜女子駅伝北九州大会,0
郡山シティーマラソン,福島県,,,,,wikipedia,Q60985759,郡山シティーマラソン,0
郡市対抗源平駅伝,香川県,,,,,wikipedia,Q11643218,郡市対抗源平駅伝,1
郡市対抗県下一周駅伝大会,長崎県,,,,,wikipedia,Q11643217,郡市対抗県下一周駅伝大会,0
郡市対抗県内一周駅伝大会,佐賀県,,,,,wikipedia,Q11643219,郡市対抗県内一周駅伝大会,0
都道府県対抗全日本マスターズ駅伝大会,,,,,,wikipedia,Q11643852,都道府県対抗全日本マスターズ駅伝大会,0
金ケ崎マラソン,岩手県,,,,,wikipedia,Q11646270,金ケ崎マラソン,0
金沢マラソン,石川県,,,,,wikipedia,Q20043681,金沢マラソン,0
釧路湿原全国車いすマラソン,北海道,,,,,wikipedia,Q11648303,釧路湿原全国車いすマラソン,0
鎌ケ谷新春マラソン大会,千葉県,,,,,wikipedia,Q11650835,鎌ケ谷新春マラソン大会,0
長井マラソン,山形県,,,,,wikipedia,,長井マラソン,0
長野マラソン,長野県,,,,,wikipedia,Q1476220,長野マラソン,0
長野県市町村対抗駅伝競走大会,長野県,,,,,wikipedia,Q11654316,長野県市町村対抗駅伝競走大会,0
長野県縦断駅伝競走,長野県,,,,,wikipedia,Q11654373,長野県縦断駅伝競走,0
関西学生対校駅伝競走大会,京都府,,,,,wikipedia,Q11656311,関西学生対校駅伝競走大会,0
関西実業団対抗駅伝競走大会,和歌山県,,,,,wikipedia,Q11656330,関西実業団対抗駅伝競走大会,0
防府読売マラソン,山口県,,,,,wikipedia,Q11657014,防府読売マラソン,0
隠岐の島ウルトラマラソン,島根県,,,,,wikipedia,Q11659034,隠岐の島ウルトラマラソン,0
青梅マラソン,東京都,,https://www.ohme-marathon.jp/,,,wikipedia,Q385385,青梅マラソン,0
青森県民駅伝競走大会,青森県,,,,,wikipedia,Q11662195,青森県民駅伝競走大会,0
静岡マラソン,静岡県,,,,,wikipedia,Q17211869,静岡マラソン,0
